,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
Tonight, Tonight,,,,,,,,,,,,,,,
Wonderwall - Remastered,,,,,,,,,,,,,,,,
I Don't Want to Miss a Thing - From the Touchstone film," ""Armageddon""",,,,,,,,,,,,,,,
Jealousy - Remastered Single Version,,,,,,,,,,,,,,,,
Waterfalls,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,
Torn,,,,,,,,,,,,,,,,
Stay,,,,,,,,,,,,,,,,
Breathe Again,,,,,,,,,,,,,,,,
Angel,,,,,,,,,,,,,,,,
Bitter Sweet Symphony,,,,,,,,,,,,,,,,
Runaway Train,,,,,,,,,,,,,,,,
The Freshmen,,,,,,,,,,,,,,,,
White Flag,,,,,,,,,,,,,,,,
Smooth Operator - Single Version,,,,,,,,,,,,,,,,
"Tom's Diner - 7"" Version",,,,,,,,,,,,,,,,
Only Wanna Be With You,,,,,,,,,,,,,,,,
0,,The Smashing Pumpkins,4iCGSi1RonREsPtfEKYj5b,6.28e-05,0.287,0.0368,0.748,0.237,0.67,0.222,254627.0,6.0,1.0,-9.381,148.928,4.0
1,,Oasis,5qqabIl2vWzo9ApSC317sa,0.000452,0.378,0.0407,0.0,0.194,0.896,0.469,258773.0,2.0,1.0,-4.066,174.302,4.0
2,,Aerosmith,0c1gHntWjKD7QShC8s99sq,0.172,0.39,0.0345,0.0,0.216,0.649,0.144,299760.0,2.0,1.0,-5.163,121.16,4.0
3,,Natalie Merchant,7p2aGxnxFYf6VLQPEYirPO,0.137,0.727,0.0343,0.0335,0.0857,0.739,0.783,164053.0,0.0,1.0,-7.38,100.994,4.0
4,,TLC,6qspW4YKycviDFjHBOaqUY,0.311,0.77,0.0828,7.4e-05,0.0777,0.505,0.757,279507.0,1.0,1.0,-7.345,171.798,4.0
5,,The Smashing Pumpkins,3Y8Ff1nH44jFywAtpgmleZ,0.0166,0.765,0.0332,0.588,0.0513,0.788,0.964,266200.0,3.0,1.0,-9.896,126.879,4.0
6,,Natalie Imbruglia,1Jaah2tmN9Hv81A87KZ1MU,0.0647,0.575,0.034,0.000187,0.709,0.886,0.608,244667.0,5.0,1.0,-5.182,96.308,4.0
7,,Lisa Loeb & Nine Stories,4ARhdB2FzpXcko8T03YVen,0.454,0.677,0.0452,0.0,0.107,0.592,0.336,183670.0,1.0,1.0,-6.887,80.316,4.0
8,,Toni Braxton,68ZD7M5tOBBM0N5XWRECoD,0.0704,0.689,0.0326,0.0,0.0877,0.677,0.259,269173.0,0.0,1.0,-6.36,153.919,4.0
9,,Sarah McLachlan,6G8fblD9DbcEmaKOKDy3XL,0.948,0.399,0.037,1.39e-05,0.104,0.0861,0.129,266026.0,1.0,1.0,-14.679,117.451,3.0
10,,The Verve,3Z9PJ6xiEGmcqo2hESEB5n,0.0336,0.362,0.049,0.0,0.466,0.911,0.498,357267.0,9.0,1.0,-5.966,171.112,4.0
11,,Soul Asylum,3TW48DvQ7ChwY1Yy1tkMaP,0.0132,0.613,0.0425,0.0,0.104,0.72,0.561,265867.0,0.0,1.0,-7.957,117.341,4.0
12,,The Verve Pipe,3rfDfPjgHDQ1BUaSHr9xoI,0.0619,0.577,0.0235,1.07e-05,0.11,0.497,0.279,269467.0,1.0,0.0,-9.371,99.662,4.0
13,,Dido,6si71supnBUhddjR2FJc2L,0.344,0.509,0.0383,7.26e-06,0.0805,0.537,0.315,240040.0,5.0,1.0,-6.834,170.037,4.0
14,,Sade,3XEtw7t4V5sfd2vtkp0ql7,0.24,0.734,0.032,0.000585,0.0298,0.581,0.962,258693.0,9.0,0.0,-6.619,119.337,4.0
15,,DNA,6HS5QOvhd4w3XqJMDaEWcv,0.0376,0.863,0.0678,0.0215,0.0532,0.452,0.544,227867.0,6.0,0.0,-10.839,99.102,4.0
16,,Hootie & The Blowfish,,,,,,,,,,,,,,
