,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,0UaMYEvWZi0ZqiDOoHU3YI,0.0311,0.904,0.121,0.00697,0.0471,0.813,0.81,226864.0,4.0,0.0,-7.105,125.461,4.0
1,Toxic,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak,0.0249,0.774,0.114,0.025,0.242,0.838,0.924,198800.0,5.0,0.0,-3.914,143.04,4.0
2,Crazy In Love,Beyonc̩,0WqIKmW4BTrj3eJFmnCKMv,0.00238,0.664,0.21,0.0,0.0598,0.758,0.701,235933.0,2.0,0.0,-6.583,99.259,4.0
3,Rock Your Body,Justin Timberlake,1AWQoqb9bSvzTjaLralEkT,0.202,0.891,0.14,0.000234,0.0521,0.714,0.818,267267.0,4.0,0.0,-6.055,100.972,4.0
4,It Wasn't Me,Shaggy,1lzr43nnXAijIGYnCT8M8H,0.0561,0.853,0.0713,0.0,0.313,0.606,0.654,227600.0,0.0,1.0,-4.596,94.759,4.0
5,Yeah!,Usher,0XUfyU2QviPAs6bxSpXYG4,0.0212,0.881,0.168,0.0,0.0377,0.788,0.592,250373.0,2.0,1.0,-4.669,104.997,4.0
6,My Boo,Usher,68vgtRHr7iZHpzGpon6Jlo,0.257,0.662,0.118,0.0,0.0465,0.507,0.676,223440.0,5.0,1.0,-8.238,86.412,4.0
7,Buttons,The Pussycat Dolls,3BxWKCI06eQ5Od8TY2JBeA,0.158,0.544,0.32,0.0,0.268,0.823,0.434,225560.0,2.0,1.0,-4.318,210.75,4.0
8,Say My Name,Destiny's Child,7H6ev70Weq6DdpZyyTmUXk,0.273,0.713,0.102,0.0,0.149,0.678,0.734,271333.0,5.0,0.0,-3.525,138.009,4.0
9,Hey Ya! - Radio Mix / Club Mix,OutKast,2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.728,0.0665,0.000532,0.175,0.974,0.965,235213.0,4.0,0.0,-2.261,79.526,4.0
10,Promiscuous,Nelly Furtado,2gam98EZKrF9XuOkU13ApN,0.0569,0.808,0.0506,6.13e-05,0.154,0.97,0.868,242293.0,10.0,0.0,-6.098,114.328,4.0
11,Right Where You Want Me - Radio Edit Version,Jesse McCartney,4Y45aqo9QMa57rDsAJv40A,0.00206,0.71,0.0292,5.48e-05,0.0469,0.553,0.731,211693.0,4.0,0.0,-4.722,99.005,4.0
12,Beautiful Soul,Jesse McCartney,1HwpWwa6bnqqRhK8agG4RS,0.0759,0.66,0.0472,0.0,0.0268,0.666,0.933,214227.0,9.0,1.0,-4.342,89.975,4.0
13,Leavin',Jesse McCartney,20ORwCJusz4KS2PbTPVNKo,0.0352,0.693,0.0608,3.4e-06,0.0688,0.709,0.889,216880.0,9.0,1.0,-5.787,79.237,4.0
14,Me & U,Cassie,7k6IzwMGpxnRghE7YosnXT,0.352,0.803,0.0294,0.0,0.0655,0.454,0.739,192213.0,8.0,0.0,-4.802,99.99,4.0
15,Ice Box,Omarion,1Bv0Yl01xBDZD4OQP93fyl,0.189,0.775,0.134,0.0,0.129,0.731,0.821,256427.0,8.0,1.0,-5.446,131.105,4.0
16,Sk8er Boi,Avril Lavigne,4omisSlTk6Dsq2iQD7MA07,6.79e-05,0.487,0.0482,0.0,0.358,0.9,0.484,204000.0,0.0,1.0,-4.417,149.937,4.0
17,Run It!,Chris Brown,7xYnUQigPoIDAMPVK79NEq,0.0246,0.846,0.129,0.0,0.393,0.482,0.212,229867.0,1.0,0.0,-6.721,100.969,4.0
18,Check On It - feat. Bun B and Slim Thug,Beyonc̩,6d8A5sAx9TfdeseDvfWNHd,0.0708,0.705,0.267,0.0,0.388,0.796,0.864,210453.0,7.0,1.0,-6.845,166.042,4.0
19,Jumpin',Destiny's Child,4pmc2AxSEq6g7hPVlJCPyP,0.00543,0.771,0.0567,0.00157,0.0537,0.685,0.683,230200.0,1.0,1.0,-4.639,88.997,4.0
20,Soak Up The Sun,Sheryl Crow,215JYyyUnrJ98NK3KEwu6d,0.0418,0.715,0.0448,0.0,0.139,0.75,0.71,292307.0,4.0,1.0,-4.898,119.992,4.0
21,Where Is The Love?,The Black Eyed Peas,0uqPG793dkDDN7sCUJJIVC,0.101,0.835,0.184,0.0,0.132,0.687,0.828,272533.0,5.0,1.0,-3.18,94.059,4.0
22,Stacy's Mom,Bowling For Soup,19Js5ypV6JKn4DMExHQbGc,0.00349,0.728,0.0752,0.000195,0.0907,0.801,0.813,193043.0,4.0,1.0,-3.636,119.989,4.0
23,Just The Girl,The Click Five,1JURww012QnWAw0zZXi6Aa,0.00509,0.571,0.0395,0.0,0.0769,0.89,0.751,234147.0,9.0,1.0,-1.6,110.958,4.0
24,Yo (Excuse Me Miss),Chris Brown,7DFnq8FYhHMCylykf6ZCxA,0.119,0.536,0.272,0.0,0.209,0.612,0.57,229040.0,4.0,1.0,-5.847,86.768,4.0
25,Year 3000,Jonas Brothers,1TfAhjzRBWzYZ8IdUV3igl,0.00357,0.659,0.046,0.0,0.302,0.869,0.811,201960.0,11.0,1.0,-5.858,106.966,4.0
26,Lip Gloss,Lil Mama,1Y4ZdPOOgCUhBcKZOrUFiS,0.41,0.619,0.501,1.37e-06,0.0571,0.87,0.94,219773.0,2.0,1.0,-4.956,188.772,4.0
27,Everytime We Touch - Radio Edit,Cascada,6MjljecHzHelUDismyKkba,0.004,0.624,0.0494,1.18e-05,0.376,0.976,0.514,199120.0,8.0,1.0,-5.355,142.008,4.0
28,Whatcha Say,Jason Derulo,67T6l4q3zVjC5nZZPXByU8,0.0444,0.615,0.0779,0.0,0.145,0.711,0.711,221253.0,11.0,1.0,-5.507,144.036,4.0
29,Miss Independent,Ne-Yo,34ceTg8ChN5HjrqiIYCn9Q,0.522,0.673,0.115,0.0,0.235,0.683,0.713,232000.0,1.0,1.0,-5.693,171.86,4.0
30,Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,0.00124,0.454,0.0675,0.000181,0.0679,0.708,0.483,202067.0,10.0,0.0,-4.526,192.18,4.0
