,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Burnin' It Down,Jason Aldean,4f3ocvNFdJMmGP04kskM2J,0.31,0.68,0.0466,3.82e-06,0.101,0.788,0.653,219147.0,6.0,1.0,-6.677,135.943,4.0
1,Dirt Road Anthem,Jason Aldean,2qYsSHsYkihWx043HVJQRV,0.347,0.68,0.0357,1.87e-06,0.117,0.741,0.635,229400.0,2.0,1.0,-5.055,127.024,4.0
2,When She Says Baby,Jason Aldean,3gVRILe7XCyNakb6sy5umX,0.0682,0.673,0.0361,0.000116,0.309,0.76,0.807,171120.0,0.0,1.0,-5.126,113.063,4.0
3,The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,0h3DPHckCUqcWswjVMvdE9,0.227,0.511,0.0498,6.51e-06,0.184,0.798,0.607,193187.0,7.0,1.0,-4.314,183.303,4.0
4,Laid Back,Jason Aldean,64kx1uRSRs0M4qVlZ0RytB,0.0928,0.599,0.0328,3.26e-06,0.373,0.821,0.776,184093.0,2.0,1.0,-4.262,104.991,4.0
5,Take A Little Ride,Jason Aldean,2o5mwv7hvas1jdUg14Nihv,0.044,0.472,0.0413,0.0,0.213,0.866,0.775,187613.0,2.0,1.0,-3.771,163.867,4.0
6,White Liar,Miranda Lambert,08NPIspzvBNj88lHalgA4V,0.0499,0.35,0.0336,0.000742,0.413,0.777,0.419,287760.0,10.0,1.0,-4.33,185.04,4.0
7,Neon Light,Blake Shelton,289hx4t6fH2BBe8p6cnXo1,0.0189,0.666,0.048,1.01e-06,0.0635,0.78,0.923,221402.0,2.0,1.0,-5.847,154.056,4.0
8,Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,39FwE8edwuyiaa4PrGBkP7,0.251,0.611,0.0529,2.35e-06,0.248,0.688,0.649,288760.0,2.0,1.0,-6.369,169.895,4.0
9,Doin' What She Likes,Blake Shelton,1MDogqDrStFSO9cdUTUFem,0.157,0.581,0.0406,0.0,0.278,0.767,0.832,222613.0,10.0,1.0,-6.28,152.011,4.0
10,Sure Be Cool If You Did,Blake Shelton,5yIiXdLRE85OBiQmCaUenq,0.255,0.576,0.035,0.0,0.108,0.726,0.582,215720.0,11.0,1.0,-4.625,136.802,4.0
11,Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,0.0832,0.51,0.0696,0.0,0.071,0.898,0.596,226867.0,11.0,1.0,-3.15,144.056,4.0
12,That's My Kind Of Night,Luke Bryan,5HGibWoxnkYSkl6mHmAlOE,0.0626,0.66,0.051,0.0,0.1,0.754,0.899,190187.0,4.0,0.0,-2.84,110.02,4.0
13,Drunk On You,Luke Bryan,3b7CDTKB0SRTmQ6ytYi5vZ,0.178,0.558,0.0449,0.0,0.173,0.872,0.472,213547.0,9.0,1.0,-4.401,143.971,4.0
14,Country Girl (Shake It For Me),Luke Bryan,0yD66650JxhqKbW76C2qCo,0.0293,0.645,0.0462,0.0,0.0834,0.904,0.671,225560.0,2.0,1.0,-4.532,105.97,4.0
15,Kiss My Country Ass,Blake Shelton,6VKjdUk3JEbeBXv1IusK5M,0.0384,0.5,0.0368,0.0,0.13,0.87,0.687,252893.0,7.0,1.0,-3.282,90.001,4.0
16,Banjo,Rascal Flatts,47aIa6zbUGsdNn55cyuOug,0.0193,0.627,0.0361,0.0,0.148,0.859,0.772,256133.0,2.0,1.0,-6.322,101.988,4.0
17,Little Bit of Life,Craig Morgan,1jSZ1IETySh2kDTnyfIE0I,0.292,0.667,0.0344,0.0,0.287,0.834,0.703,251720.0,7.0,1.0,-4.743,96.944,4.0
18,Little Toy Guns,Carrie Underwood,4lnnde7PnrXR3pUzQKBe6X,0.00407,0.434,0.0603,1.98e-06,0.0919,0.868,0.204,210760.0,7.0,1.0,-1.208,161.886,4.0
19,Need You Now,Lady Antebellum,11EX5yhxr9Ihl3IN1asrfK,0.0927,0.587,0.0303,0.000636,0.2,0.622,0.231,277573.0,4.0,1.0,-5.535,107.943,4.0
20,Long Stretch Of Love,Lady Antebellum,6QlmzxCyQGBnp3C2CoaNB3,0.0936,0.53,0.0483,0.0,0.0548,0.935,0.507,171747.0,1.0,1.0,-2.212,102.031,4.0
21,This Is How We Roll,Florida Georgia Line,2TR7A4ulH9R1PNwMyd8o8U,0.016,0.555,0.0367,0.0,0.405,0.931,0.723,220907.0,8.0,1.0,-2.969,132.085,4.0
22,Cruise,Florida Georgia Line,0i5el041vd6nxrGEU8QRxy,0.0191,0.457,0.0354,0.0,0.0536,0.948,0.878,208960.0,10.0,1.0,-3.364,148.0,4.0
23,Drink A Beer,Luke Bryan,1PoGWZbJPGmViVi7CYbDUK,0.812,0.571,0.0319,7.99e-05,0.164,0.43,0.285,202627.0,8.0,1.0,-7.439,77.961,4.0
24,Kiss Tomorrow Goodbye,Luke Bryan,4ZF2WDTBVFihfTkxfme8JE,0.0064,0.571,0.0365,0.0,0.316,0.937,0.584,203133.0,5.0,0.0,-3.467,115.013,4.0
25,Yeah,Joe Nichols,0uRlP6bHbSgBGklmaCMqG7,0.00647,0.414,0.0531,1.52e-05,0.194,0.843,0.572,230707.0,11.0,1.0,-4.638,165.713,4.0
26,Party Wasn't Over,Cole Swindell,4OLsnLI47gYgCKry4ZenKy,0.0691,0.477,0.0626,0.0,0.216,0.909,0.547,226813.0,5.0,1.0,-3.603,75.036,4.0
27,Crash My Party,Luke Bryan,6GBUsjHfZuweYf5lQEz6mP,0.0309,0.526,0.0431,0.0,0.246,0.823,0.435,234760.0,7.0,1.0,-4.03,144.09,4.0
28,Blue Ain't Your Color,Keith Urban,6ZOPiKQeibCn7fP8dncucL,0.617,0.69,0.0335,1.37e-06,0.102,0.416,0.479,230600.0,7.0,1.0,-7.865,82.45,3.0
29,Blue Ain't Your Color - Live,Jessie James Decker,4d3P1ut2dpcV8t5ukJdfij,0.674,0.653,0.0474,0.0,0.296,0.62,0.724,230442.0,1.0,1.0,-5.874,82.405,3.0
30,Love On the Brain - Live,Jessie James Decker,64pbXDu3ZuTjOeZCLbVGTz,0.391,0.557,0.0797,0.0,0.418,0.611,0.68,223372.0,2.0,1.0,-6.498,171.89,3.0
31,Who's Lovin You - Live,Jessie James Decker,,,,,,,,,,,,,,
