,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Mess Is Mine,Vance Joy,7BVwi9cIzSc6tpyxsp47vJ,0.047,0.595,0.0349,0.0286,0.0995,0.723,0.272,223640.0,7.0,1.0,-8.256,108.043,1.0
1,Budapest,George Ezra,7GJClzimvMSghjcrKxuf1M,0.0883,0.714,0.0276,0.0,0.108,0.451,0.406,200720.0,5.0,1.0,-8.268,127.787,4.0
2,Rude (Acoustic),MAGIC!,5N0fCfFgNKqoxIUPWvAMcV,0.363,0.738,0.0729,0.0,0.17,0.846,0.891,223973.0,1.0,1.0,-4.296,144.007,4.0
3,Pumpin Blood - Acoustic,NONONO,2yj5wWvw5Lz6HwEBbRLKKL,0.567,0.687,0.0308,0.00197,0.214,0.426,0.296,221880.0,7.0,1.0,-8.716,113.047,4.0
4,Ho Hey,Nashville Cast,2BwRvOaG8JdpX3F5LqiLHo,0.601,0.692,0.026,0.0,0.102,0.434,0.455,126440.0,1.0,1.0,-8.53,82.978,4.0
5,Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,0.431,0.484,0.0379,0.0,0.151,0.731,0.51,204280.0,1.0,1.0,-6.694,101.654,4.0
6,Drive,Incubus,73fzhVcs7n1wZz84eoE2vs,0.0538,0.651,0.0338,0.01,0.137,0.793,0.682,232533.0,4.0,0.0,-7.312,90.573,4.0
7,Wake Me Up - Acoustic,Aloe Blacc,3Jc0ABqhf9yMLn8bbAdmKX,0.358,0.569,0.0326,0.0,0.134,0.593,0.344,225333.0,2.0,1.0,-7.176,115.05,4.0
8,Apologize (Acoustic Version),Kacey Musgraves,6QT53ohGZeLGoYktBPRePD,0.752,0.494,0.0301,7.69e-06,0.0938,0.418,0.256,151880.0,0.0,0.0,-3.656,132.464,4.0
9,Home,Johnnyswim,2BX2njwutbKutDcLVFiqUU,0.235,0.647,0.0756,0.0,0.144,0.627,0.517,211107.0,0.0,1.0,-7.08,110.121,4.0
10,Breakeven (Acoustic),Maddi Jane,13KmiyueaRdBDC5SY4oxPI,0.818,0.483,0.0342,0.0,0.136,0.395,0.45,205500.0,3.0,1.0,-7.079,94.609,4.0
11,Let Her Go,Passenger,2jyjhRf6DVbMPU5zxagN2h,0.385,0.509,0.0572,0.0,0.104,0.538,0.244,252867.0,7.0,1.0,-7.335,75.089,4.0
12,Wonderwall,Ryan Adams,7xhhhqWgqM0tf5IaEc9Bwt,0.828,0.321,0.0352,0.00398,0.0873,0.22,0.301,248280.0,7.0,0.0,-12.608,157.04,4.0
13,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,5MYfpFJYm8WNFGssR6H2Oz,0.929,0.547,0.036,1.2e-06,0.714,0.188,0.192,239080.0,1.0,1.0,-10.676,135.657,4.0
14,Another Love - Live from Spotify (SXSW),Tom Odell,0rhJ30qQSus6Ckn3hKZ6Hr,0.86,0.453,0.0395,0.0,0.751,0.586,0.133,257267.0,4.0,0.0,-6.741,119.306,4.0
15,Bubbly - Solo Acoustic,Colbie Caillat,3ThoNs4xBJMflCJqfT6XSF,0.889,0.665,0.0579,0.0,0.0884,0.0959,0.338,215933.0,9.0,1.0,-12.077,117.175,4.0
16,Free,Donavon Frankenreiter,4oiPC90DjIQXXgMMgbHK4G,0.112,0.793,0.0386,0.0,0.109,0.464,0.851,148600.0,5.0,1.0,-6.624,124.997,4.0
17,Song For Zula (Live From Spotify London),Phosphorescent,7E0mZMqI71T8dowPtkiwio,0.338,0.409,0.0302,0.000204,0.877,0.339,0.108,275227.0,4.0,1.0,-9.763,87.528,4.0
