,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,The Silver Tongued Devil and I,Kris Kristofferson,2VwhoKTOxrfhkpCfIk1FhW,0.602,0.581,0.0338,0.0,0.267,0.284,0.579,257760.0,3.0,1.0,-14.769,127.552,3.0
1,Are You Sure Hank Done It This Way,Waylon Jennings,4eH47ofIZbrbKwmLJSu5hb,0.461,0.834,0.0295,0.135,0.116,0.551,0.73,175440.0,4.0,1.0,-11.13,113.843,4.0
2,Navajo Rug,Ian Tyson,2Jcn96seSoIqwrNPvvO6Fu,0.256,0.658,0.0451,0.0,0.252,0.419,0.703,174000.0,9.0,1.0,-15.285,167.366,4.0
3,I Walk the Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,0.877,0.713,0.0384,0.00606,0.0967,0.258,0.56,176533.0,9.0,1.0,-14.59,98.805,4.0
4,If I Had A Boat,Lyle Lovett,5LrNrRA8sMvhKRPOkuvpwq,0.317,0.476,0.0376,0.000339,0.357,0.32,0.478,189360.0,4.0,1.0,-15.642,91.997,4.0
5,Have A Little Faith In Me,John Hiatt,23EgnmfkdOsDK96ftbVv0Q,0.732,0.441,0.0298,0.0,0.112,0.402,0.339,245000.0,0.0,1.0,-11.4,156.404,4.0
6,Feelin' Good Again,Robert Earl Keen,4NpYrBb5iuDqW1S5qrU3b6,0.795,0.59,0.0357,2.78e-05,0.108,0.408,0.499,196867.0,7.0,1.0,-12.572,110.083,4.0
7,Train Home,Chris Smither,4rOp8QdHa6lsdmipYVNvu6,0.892,0.636,0.033,0.00883,0.189,0.502,0.6,252667.0,4.0,0.0,-10.713,95.668,4.0
8,It Ain't Me,Johnny Cash,7t4ICcvjp5OplAxpcavAGc,0.646,0.623,0.0408,0.0,0.105,0.468,0.578,183600.0,7.0,1.0,-10.821,105.295,4.0
9,Country Love,The Gourds,2Qmz4TfoJuX531lqm7Hxd7,0.214,0.442,0.0997,0.0,0.805,0.792,0.825,163253.0,0.0,1.0,-5.406,166.062,4.0
