,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Blurred Lines,Robin Thicke,0Rz1KXsP4bhGxs0ffySSSn,0.00381,0.866,0.04,6.5e-06,0.0861,0.606,0.838,263827.0,7.0,1.0,-4.762,119.991,4.0
1,Back To Love,Anthony Hamilton,6R9gchZx3ypUZubdBgaHPm,0.0728,0.692,0.0596,6.94e-06,0.0633,0.68,0.625,199587.0,5.0,0.0,-7.345,83.999,4.0
2,betterman,Musiq Soulchild,0Eo3PFRx6Ur5YVN5m8CL94,0.0209,0.655,0.181,0.0,0.0854,0.717,0.533,278360.0,0.0,1.0,-6.369,85.006,4.0
3,So High - Single Version,John Legend,7BaoAkPnIGEEZdWK4eAmcH,0.297,0.354,0.0624,0.0,0.111,0.461,0.216,307400.0,4.0,0.0,-10.593,137.127,4.0
4,Heaven,Jamie Foxx,4wBZ0w2ZNB6H2wBSnBgqON,0.836,0.586,0.0306,0.0,0.131,0.292,0.264,234693.0,0.0,1.0,-11.769,76.06,4.0
5,Whenever Wherever Whatever - Live,Maxwell,7Erskuom3NxGlibr2c2wQa,0.892,0.216,0.0348,3.78e-05,0.992,0.294,0.172,285867.0,7.0,1.0,-12.689,80.083,4.0
6,You Are (feat. John Legend),Estelle,06BLdiijyvKwdoyUhmhYeS,0.0617,0.7,0.0956,0.0,0.257,0.692,0.373,208600.0,6.0,0.0,-3.811,102.961,4.0
7,Sometimes I Cry,Eric Ben̩t,0OvGXbnk5ucvM3YzWZLpCE,0.131,0.478,0.0645,1.93e-06,0.497,0.419,0.306,308013.0,7.0,0.0,-6.117,104.969,3.0
8,Love Is You,Chrisette Michele,5p3N0c0yJW70k7Xudt6u8x,0.945,0.5,0.0686,0.0,0.142,0.225,0.221,196960.0,0.0,0.0,-10.28,97.364,5.0
9,I Think I Love U,Dwele,1TlEEopIktdAi8oWRf9Qx6,0.111,0.549,0.127,1.46e-05,0.0564,0.491,0.728,221987.0,0.0,1.0,-9.537,203.818,4.0
10,A Change Is Gonna Come,Trey Songz,5aFTTpZBOa2tTjS9X0NJJE,0.385,0.48,0.0695,4.3e-05,0.468,0.473,0.231,425866.0,6.0,1.0,-9.058,123.403,3.0
11,Sailing,Avant,42q2a2cWeND32HEzhQXzfz,0.573,0.401,0.0333,4.33e-05,0.258,0.505,0.289,255627.0,9.0,1.0,-8.985,77.539,4.0
12,I Don't Care,Raheem DeVaughn,3dhvJ9A5uBPJ0NMV9GWTWY,0.0528,0.71,0.0632,0.0,0.0648,0.802,0.393,255107.0,2.0,1.0,-5.856,106.011,4.0
13,Blow the Whistle,Too $hort,2lMg3lCMOGistaWBNGjuT3,0.0042,0.907,0.198,0.0,0.151,0.625,0.605,163133.0,1.0,1.0,-5.557,99.918,4.0
14,What Kind Of Man Would I Be,Mint Condition,5qR3pYQIC10S7aD2YBjgui,0.39,0.651,0.0318,0.0,0.143,0.498,0.423,264600.0,0.0,0.0,-8.868,109.906,4.0
15,Lifetime - Uncut,Maxwell,4jTKKhWkKA7jaK9HCuHy9y,0.302,0.688,0.0819,2.92e-06,0.0726,0.444,0.504,329400.0,9.0,1.0,-7.324,128.006,4.0
16,Love Is You,Chrisette Michele,5p3N0c0yJW70k7Xudt6u8x,0.945,0.5,0.0686,0.0,0.142,0.225,0.221,196960.0,0.0,0.0,-10.28,97.364,5.0
17,4Evermore,Anthony David,0jOkOarPolkwH9NzjLGgh8,0.0366,0.677,0.0949,9.1e-05,0.0999,0.789,0.829,243947.0,8.0,1.0,-5.747,96.007,4.0
18,Open Your Eyes,Dwele,5UzPW8HC6slxstdRbV3Kcp,0.259,0.583,0.039,0.000942,0.0755,0.378,0.331,201267.0,2.0,1.0,-9.619,94.938,4.0
19,Heaven - A Cappella feat. Pusha T of Clipse,John Legend,3MgUWXXlvgUqXYHVws2EIW,0.742,0.581,0.358,0.0,0.171,0.258,0.504,224160.0,8.0,1.0,-11.409,105.738,3.0
20,Womanopoly,Musiq Soulchild,3VHr4WYocDFNj5oZzRSamK,0.0349,0.592,0.434,0.0,0.348,0.786,0.542,294867.0,1.0,1.0,-5.538,151.879,4.0
21,Don't Talk,Jon B.,7dZzBG5EzwxGKrWsWLgqgw,0.0644,0.814,0.136,0.0,0.0919,0.497,0.674,283827.0,7.0,0.0,-8.73,104.59,4.0
22,Find Your Way,Kem,3Dp45phAlIRFLnTv8lD60h,0.772,0.764,0.0384,0.152,0.122,0.646,0.778,273493.0,9.0,0.0,-9.587,87.902,4.0
23,For Lovers Only - Uncut,Maxwell,4McigacczVYBoJRJDJRZEC,0.805,0.456,0.0635,0.00832,0.0974,0.431,0.259,221573.0,5.0,1.0,-9.334,110.099,4.0
24,Woman,Raheem DeVaughn,00chQGvija63zygRg8nyL6,0.528,0.745,0.233,0.0,0.311,0.485,0.658,267600.0,5.0,0.0,-5.814,87.138,4.0
25,I Think I Love U,Dwele,1TlEEopIktdAi8oWRf9Qx6,0.111,0.549,0.127,1.46e-05,0.0564,0.491,0.728,221987.0,0.0,1.0,-9.537,203.818,4.0
26,Door #1,LSG,7Je4aDuchYqv2YWMudH5ZM,0.242,0.796,0.0504,0.0,0.289,0.434,0.625,301600.0,2.0,1.0,-6.864,112.213,4.0
27,Getting Late,Floetry,0khnsS3vcqT6qngEhZCk4c,0.261,0.494,0.153,3.48e-06,0.0905,0.303,0.402,406733.0,10.0,0.0,-9.358,153.681,3.0
28,When Will I See You Smile Again?,Bell Biv DeVoe,3q0QmvdwHBETS89ZvelClL,0.0496,0.715,0.0277,0.000735,0.0688,0.414,0.321,307133.0,6.0,0.0,-11.919,124.043,4.0
29,When Can I See You,Babyface,2zItQNJrVrTioXTXWiI2ed,0.257,0.754,0.0807,2.09e-05,0.121,0.472,0.613,229600.0,8.0,1.0,-11.787,169.199,4.0
