,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Doo Wop (That Thing),Ms. Lauryn Hill,6otqZiIqqzzzggZdd1rKgO,0.00867,0.795,0.0659,0.0,0.226,0.56,0.635,240667.0,2.0,1.0,-8.908,99.922,4.0
1,Ex-Factor,Ms. Lauryn Hill,2XCTU3DJ9W6glWSkM2uQTS,0.118,0.593,0.0976,0.0,0.484,0.619,0.668,326533.0,3.0,0.0,-9.003,80.02,4.0
2,Send It On,D'Angelo,5LIwaG8Wl9LfExcmiRQm7J,0.168,0.789,0.104,0.00714,0.326,0.258,0.335,356493.0,5.0,1.0,-11.759,127.491,3.0
3,Untitled (How Does It Feel),D'Angelo,4oPNN7syJYSjzDhRerF966,0.16,0.838,0.0628,0.0257,0.0828,0.304,0.221,430800.0,4.0,0.0,-9.975,112.618,3.0
4,Nakamarra (feat. Q-Tip),Hiatus Kaiyote,12v5GBM74fB8WsHJPQRTIe,0.656,0.552,0.125,5.21e-05,0.11,0.531,0.324,275320.0,8.0,1.0,-6.767,91.573,4.0
5,Crush On You - Prod. S1,Strange Fruit Project,30rX8MaJ0Z8MuICpPN1UTg,0.0209,0.811,0.229,0.0,0.848,0.761,0.719,205320.0,1.0,0.0,-5.523,98.968,4.0
6,Gone Baby,Erykah Badu,0QQDaKW7eRRoqvbLCylzrn,0.158,0.689,0.222,0.00437,0.0856,0.763,0.725,279720.0,6.0,0.0,-3.837,172.513,4.0
7,Fall In Love (Your Funeral),Erykah Badu,2JUo1SKFbGn4Gx89eU1lwO,0.481,0.807,0.106,3.02e-06,0.111,0.446,0.761,366693.0,11.0,1.0,-7.934,91.841,4.0
8,Mystery of Iniquity - Live,Ms. Lauryn Hill,5KZwRD3KklSP73jnLoNWtF,0.54,0.65,0.699,0.0,0.771,0.428,0.626,310733.0,2.0,0.0,-10.998,74.3,3.0
9,Wildfire,SBTRKT,2WMRd3xAb9FwXopCRNWDq1,0.0308,0.835,0.387,0.000501,0.0896,0.481,0.34,201000.0,0.0,0.0,-7.188,139.581,4.0
10,Molasses,Hiatus Kaiyote,2m6knc5tEfzVYwGY6GlCPm,0.185,0.554,0.211,1.92e-05,0.16,0.443,0.483,289480.0,7.0,0.0,-7.461,83.892,4.0
11,Me and Mrs. Jones,Billy Paul,4sj8qFcEDnRPNv3tBbUVUf,0.388,0.303,0.0482,1.16e-06,0.468,0.555,0.447,285760.0,0.0,0.0,-9.259,67.322,4.0
12,III. Follow,Owen Thiele x Zack Sekoff,16btS4PECrq80ZqbRhiK0a,0.18,0.701,0.0503,0.0908,0.0643,0.376,0.522,234648.0,8.0,1.0,-8.009,201.943,4.0
13,Simply Beautiful,Al Green,09kEUjIvixNShjfl3YoyWo,0.616,0.527,0.145,0.00416,0.125,0.223,0.479,251569.0,9.0,0.0,-15.627,145.253,4.0
14,Try A Little Tenderness,Otis Redding,36AlMHDBFwSsD3FQOy1R81,0.186,0.587,0.0565,2.26e-05,0.258,0.133,0.068,201733.0,9.0,0.0,-15.151,102.938,4.0
15,Ms. Fat Booty,Mos Def,2OsGdZYDdTK4pxDMsK0Blv,0.148,0.781,0.21,0.0,0.166,0.589,0.864,223515.0,1.0,1.0,-4.827,90.437,4.0
16,Back Pocket,Vulfpeck,1DrlLvlYd1FIjNavRm6NdX,0.478,0.839,0.153,0.00281,0.0435,0.585,0.89,181260.0,2.0,1.0,-7.738,89.821,4.0
17,Knockin' at the Wrong Door,The Rollers,6X5DBYT97ONcIhhiiTK8zg,0.0441,0.686,0.148,4.98e-05,0.165,0.551,0.617,131280.0,5.0,0.0,-7.606,85.361,4.0
18,Laputa (Taylor McFerrin Remix feat. Anderson .Paak),Hiatus Kaiyote,,,,,,,,,,,,,,
