,track_name,artist,id,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Some Kind Of Drug,G-Eazy,1Bqxj0aH5KewYHKUg1IdrF,0.0705,0.586,0.498,0.0,0.0729,0.525,0.491,222467.0,0.0,1.0,-8.968,126.51,4.0
1,Ballad Of A Dead Soulja,2Pac,7tUw8Zf8a0OcCzU1MwZHOY,0.0307,0.699,0.226,0.0,0.096,0.856,0.395,255733.0,1.0,1.0,-3.568,205.439,4.0
2,Grindin',NF,3m6HMeFX6GIlGPMBcLEN6t,0.223,0.694,0.141,0.0,0.0908,0.732,0.304,277293.0,1.0,1.0,-6.816,109.983,4.0
3,The Beast,Tech N9ne,2ZaWL12apL7wmNPuJMlny4,0.287,0.703,0.46,0.0,0.401,0.909,0.777,219573.0,5.0,0.0,-4.205,204.208,4.0
4,Runnin' (Dying To Live),2Pac,3EaFe9jMJ8upE4597GkKR2,0.0463,0.541,0.4,0.000205,0.331,0.805,0.597,230786.0,10.0,0.0,-2.832,166.18,4.0
5,Cinderella Man,Eminem,4SE4yewyGpOYfxfx59Yjc5,0.234,0.679,0.202,0.0,0.0821,0.908,0.687,279013.0,8.0,1.0,-3.411,85.918,4.0
6,Beast - Southpaw Remix,Rob Bailey & The Hustle Standard,2fWSwWmKRuyioqIzOzuQGo,0.0252,0.596,0.218,0.0,0.888,0.947,0.555,279373.0,9.0,1.0,-4.514,143.992,4.0
7,Can't Be Touched (feat. Mr. Magic & Trouble),Roy Jones Jr.,3zmduBNsQ6BPDTZAkXzG5K,0.00323,0.642,0.094,0.0,0.227,0.777,0.413,214400.0,4.0,0.0,-4.809,96.986,4.0
8,Riot Maker,Tech N9ne,0vXNkD4Io3SBBJjqnOTA1K,0.0728,0.699,0.338,0.0,0.593,0.66,0.621,331480.0,2.0,1.0,-3.697,162.118,4.0
9,Am I A Psycho,Tech N9ne,1JTZqN0snbMSNtp59zveTs,0.0108,0.703,0.304,0.0,0.74,0.776,0.541,244307.0,9.0,1.0,-3.409,82.466,4.0
10,My Time,Fabolous,2YZsYIsDEXZOU8OS4jEjeC,0.192,0.595,0.143,0.0,0.0588,0.819,0.498,240053.0,0.0,0.0,-6.186,179.9,4.0
11,Above The Law,Bad Meets Evil,5oEgPvhTZ4CFjeuuLfmMsI,0.104,0.495,0.449,0.0,0.192,0.893,0.511,209613.0,11.0,1.0,-3.331,183.406,4.0
12,Heart Of A Champion - Album Version / Explicit,Nelly,5IsIwEZYogIGgyutqCLwK7,0.0898,0.562,0.211,0.0,0.48,0.942,0.872,269987.0,9.0,0.0,-3.245,78.826,4.0
13,'Till I Collapse,Eminem,6yr8GiTHWvFfi4o6Q5ebdT,0.0748,0.551,0.197,0.0,0.0784,0.851,0.1,297893.0,1.0,1.0,-3.277,171.411,4.0
14,Phenomenal,Eminem,4e5lEqydMatcEio6ef9Dpf,0.153,0.64,0.0466,0.0,0.0457,0.841,0.0471,282547.0,1.0,0.0,-2.426,121.075,4.0
15,Fight Music,D12,5OY8EtE7tt2nM4c0oxhJY8,0.0803,0.75,0.264,0.0,0.333,0.849,0.771,261093.0,0.0,1.0,-3.097,89.501,4.0
16,Kings Never Die,Eminem,33aHjpcpGYdPC0huGsieuL,0.0275,0.771,0.129,0.0,0.204,0.896,0.0593,296133.0,4.0,0.0,-5.289,112.505,3.0
17,If I Can't,50 Cent,6mcu7D7QuABVwUGDwovOEh,0.265,0.886,0.277,0.0,0.024,0.626,0.856,196627.0,11.0,0.0,-2.528,93.989,4.0
18,Lose Yourself - Soundtrack Version,Eminem,7w9bgPAmPTtrkt2v16QWvQ,0.00971,0.701,0.255,0.00115,0.361,0.728,0.0591,326467.0,2.0,1.0,-4.554,171.388,4.0
19,GPS,Saba,1c8vJC0kzPNU3gx1ThbfQK,0.128,0.687,0.314,0.0,0.588,0.688,0.474,227029.0,11.0,1.0,-5.306,155.779,4.0
20,Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y,0.172,0.745,0.0941,0.00943,0.123,0.356,0.607,326933.0,1.0,1.0,-10.425,160.033,4.0
21,Party Monster,The Weeknd,4F7A0DXBrmUAkp32uenhZt,0.188,0.572,0.104,2.31e-05,0.259,0.631,0.219,249213.0,1.0,1.0,-8.389,77.519,4.0
22,Immortal,J. Cole,6AGON2BGdPmPMJGiiNuuwl,0.435,0.713,0.356,2.87e-06,0.126,0.419,0.253,201667.0,11.0,1.0,-10.668,91.634,4.0
23,POWER,Kanye West,2gZUPNdnz5Y45eiGxpHGSc,0.0162,0.543,0.113,0.0,0.744,0.915,0.577,292093.0,0.0,0.0,-4.746,153.998,4.0
24,Lost - Explicit Album Version,Gorilla Zoe,6XIiqQp6A0gzaIEaDszkZX,0.0162,0.722,0.0668,0.176,0.351,0.564,0.553,287187.0,0.0,0.0,-7.476,136.039,4.0
25,Colors,Sean Kingston,7mASPK6bwRU8KE1XTLBHjz,0.0192,0.461,0.184,0.0,0.475,0.859,0.264,273614.0,2.0,1.0,-4.833,82.113,4.0
26,Welcome To The Jungle,Guns N' Roses,0bVtevEgtDIeRjCJbK3Lmv,0.0232,0.446,0.0764,0.395,0.297,0.954,0.332,272027.0,8.0,1.0,-8.069,123.45,4.0
27,X Gon' Give It To Ya,DMX,4tXA1TUmKvz7CbUT9LUHDx,0.0139,0.769,0.165,0.0,0.0681,0.899,0.641,217587.0,10.0,0.0,-3.104,95.058,4.0
28,Go Hard,Roy Jones Jr.,0Cw5iiA8OHWIhuIIA8u8N5,0.0381,0.595,0.0609,0.0,0.08,0.714,0.141,325333.0,1.0,1.0,-5.705,88.449,4.0
29,Eye of the Tiger,Survivor,2HHtWyy5CgaQbC7XSoOb0e,0.216,0.815,0.0346,0.000466,0.0787,0.438,0.552,243773.0,0.0,0.0,-14.522,108.965,4.0
30,Worldwide Choppers,Tech N9ne,2Lo2BWhhlZSJds2yBhxoet,0.00285,0.746,0.13,0.0,0.376,0.853,0.362,326427.0,1.0,1.0,-4.452,130.028,4.0
31,G.O.M.D.,J. Cole,16qYlQ6koFxYVbiJbGHblz,0.331,0.889,0.267,8.67e-06,0.283,0.393,0.304,301133.0,4.0,0.0,-10.821,128.065,4.0
32,No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,0.302,0.696,0.332,0.0,0.0565,0.521,0.458,292987.0,10.0,0.0,-8.465,100.0,4.0
33,Cell Therapy,Goodie Mob,1rJrDaAVtS9g5ij4T88Rj5,0.0904,0.854,0.489,0.0,0.116,0.511,0.437,301200.0,0.0,1.0,-8.875,83.115,4.0
34,You Don't Know,Eminem,6mqmYfy7i8rBqgs3e2J0d4,0.0111,0.77,0.125,0.0,0.0904,0.858,0.754,257933.0,10.0,0.0,-1.835,85.487,4.0
35,Where The Hood At,DMX,6RUpJeXT6U4SPEafnr9Wr7,0.158,0.536,0.36,0.0,0.368,0.946,0.779,286267.0,5.0,0.0,-3.002,185.967,4.0
36,Lights Out - Feat. King Cyz,Frontlynaz,5Q9XjTc3KEaykbeG73Rual,0.511,0.567,0.406,0.0,0.0857,0.751,0.51,298400.0,7.0,1.0,-7.404,78.802,4.0
